size_group,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
large,21,infra_lag1,-1.8234957183492622,1.0876982107647089,0.09417910759570614,-3.9553842114480915,0.30839277474956717,*
large,21,infra_lag2,2.9004894927889993,1.6495144089781373,0.07920315838770464,-0.33255874880814984,6.133537734386149,*
large,21,infra_lag3,-2.246095480547772,2.2632678383452993,0.32140590408650516,-6.6821004437045595,2.1899094826090146,
large,21,infra_lag4,2.2787939393734784,2.582509299236899,0.37792491685827456,-2.7829242871308435,7.340512165877801,
large,21,infra_lag5,1.061115601745163,1.0621864867892832,0.31821098530126424,-1.020769912361832,3.143001115852158,
large,21,infra_lag6,-1.8410682488562462,1.5392724487697986,0.23215534151796424,-4.858042248445051,1.175905750732559,
large,21,battle_lag1,-0.021254058453048258,0.047879800901878704,0.6572755054091919,-0.11509846822073051,0.072590351314634,
large,21,battle_lag2,-0.05998065393124724,0.057161789393631104,0.2944662776343907,-0.1720177611427642,0.05205645328026973,
large,21,battle_lag3,0.08123262964758646,0.05398663893666829,0.13294507302511294,-0.02458118266828338,0.1870464419634563,
large,21,battle_lag4,-0.18380958564970276,0.08788785649145937,0.03692125837263904,-0.3560697843729631,-0.01154938692644239,**
large,21,battle_lag5,0.163178416621993,0.050455544230270925,0.0012889078811806343,0.06428554993066199,0.262071283313324,***
large,21,battle_lag6,-0.19554798680256127,0.1642496588746731,0.2343110155017485,-0.5174773181969206,0.12638134459179798,
large,21,month_2,-69.284558107859,129.50562117285546,0.5928578689133173,-323.1155756066557,184.54645939093768,
large,21,month_3,-381.96207888541954,267.3878835728492,0.15368239037215692,-906.042330688204,142.11817291736492,
large,21,month_4,163.50992489758852,173.6004729713314,0.34664481804673075,-176.74700212622105,503.7668519213981,
large,21,month_5,-74.53354689753029,151.27352780334445,0.6224040902545602,-371.0296613920854,221.96256759702482,
large,21,month_6,-167.9452916731856,124.7561551127472,0.1787622687675332,-412.4673556941701,76.57677234779888,
large,21,month_7,-103.74163361186896,82.93696032736041,0.21148866901272068,-266.29807585349533,58.81480862975744,
large,21,month_8,-89.94584384015482,77.36743907384198,0.245473146814001,-241.5860244248851,61.69433674457545,
large,21,month_9,-130.05253509885534,158.7104806818487,0.4128728062546507,-441.1250772352788,181.02000703756812,
large,21,month_10,-317.34060339901527,209.22176943088766,0.12986485343587573,-727.4152714835551,92.73406468552457,
large,21,month_11,23.404879399823287,64.87180883035303,0.7183889991660131,-103.74386590766865,150.55362470731524,
large,21,month_12,-255.56594651722867,160.57154027208128,0.11201348144660916,-570.286165450508,59.15427241605062,
small,20,infra_lag1,0.09537075627994393,0.063615401862216,0.13439422304640813,-0.029315431369999423,0.22005694392988728,
small,20,infra_lag2,-0.08894281330819856,0.06660330508733321,0.18228718920321207,-0.21948529127937166,0.041599664662974545,
small,20,infra_lag3,0.12013942265615843,0.07497876320543018,0.10965339795097795,-0.026818953226484726,0.26709779853880156,
small,20,infra_lag4,-0.01607194855059568,0.03947235619478949,0.6840397587922298,-0.09343776669238309,0.06129386959119172,
small,20,infra_lag5,-0.054744004684254326,0.05811956715745898,0.34664174159556627,-0.16865835631287393,0.05917034694436527,
small,20,infra_lag6,0.017751978561973872,0.01402616230568472,0.20617352656951393,-0.00973929955716818,0.04524325668111592,
small,20,battle_lag1,-0.002186531797103388,0.0017500465966036945,0.21203864615655843,-0.005616623126446629,0.0012435595322398533,
small,20,battle_lag2,0.0010432372300655515,0.0017306280428474327,0.5468814631054268,-0.0023487937339154168,0.004435268194046519,
small,20,battle_lag3,-0.0011053816721282965,0.001114720843577274,0.32181254173752927,-0.0032902345255397536,0.0010794711812831606,
small,20,battle_lag4,0.00648310702467742,0.005084330717402387,0.2028000943525372,-0.003482181181431258,0.016448395230786096,
small,20,battle_lag5,-0.005277818494019291,0.0031967917573449,0.09930765370577244,-0.011543530338415296,0.000987893350376713,*
small,20,battle_lag6,0.007150373023052238,0.0038740655419156173,0.06546588697668687,-0.0004427954391023718,0.014743541485206848,*
small,20,month_2,1.8659747662699246,2.771014547215235,0.5009782227904509,-3.5652137462719358,7.297163278811785,
small,20,month_3,17.693595797844544,11.065780655400596,0.1103994575733076,-3.995334286740622,39.38252588242971,
small,20,month_4,2.6057484536196376,3.7314272703189917,0.48526548771447153,-4.707848996205586,9.919345903444862,
small,20,month_5,4.773076412431702,4.940167796630775,0.33437493209726443,-4.909652468964617,14.455805293828021,
small,20,month_6,9.045409988072551,6.356056699751482,0.15526219172530054,-3.4124611434403533,21.503281119585456,
small,20,month_7,8.41276012947699,6.3644833039334,0.18676762763998078,-4.061627146232475,20.887147405186454,
small,20,month_8,5.361342340787676,4.483294497782319,0.2322644012940327,-3.4259148748656703,14.148599556441022,
small,20,month_9,4.99504664434548,5.137983723682045,0.3313828356251203,-5.0754014540713275,15.065494742762288,
small,20,month_10,10.685786320987331,6.545545905707039,0.10313347724189836,-2.143483654198464,23.515056296173128,
small,20,month_11,-2.126264950925031,3.2339191524500412,0.5111384052565333,-8.464746489727112,4.21221658787705,
small,20,month_12,9.262009568694,7.278558428096576,0.20372430939669384,-5.003964950375289,23.527984087763286,
